Data,Ora,Temperatura - °C,Umidità - %,Pressione - mBar
20/11/2021,18:46:03,22.5,55.0,1011
20/11/2021,18:46:13,22.5,55.0,1011
20/11/2021,18:46:23,22.5,55.0,1011
20/11/2021,18:47:48,22.5,55.0,1011
20/11/2021,18:47:58,22.5,55.0,1011
20/11/2021,18:48:08,22.5,55.0,1011
20/11/2021,18:48:18,22.5,55.5,1011
20/11/2021,18:48:28,22.5,55.1,1011
20/11/2021,18:48:38,22.5,55.0,1011
20/11/2021,18:48:48,22.5,55.0,1011
20/11/2021,18:48:58,22.5,55.0,1011
20/11/2021,18:49:08,21.5,25.2,1011
20/11/2021,18:49:18,20.1,19.8,1010
20/11/2021,18:49:29,18.9,19.2,1011
20/11/2021,18:49:39,17.9,19.7,1011
20/11/2021,18:49:49,17.1,20.1,1011
20/11/2021,18:49:59,16.4,20.8,1011
20/11/2021,18:50:09,15.8,21.7,1011
20/11/2021,18:50:19,15.3,23.3,1011
20/11/2021,18:50:29,14.9,23.5,1011
20/11/2021,18:50:39,14.5,24.5,1011
20/11/2021,18:50:49,14.4,30.4,1011
20/11/2021,18:50:59,14.0,26.4,1011
20/11/2021,18:51:09,13.7,26.8,1011
20/11/2021,18:51:19,13.4,28.3,1011
20/11/2021,18:51:29,14.3,65.2,1011
20/11/2021,18:51:39,14.3,43.1,1011
20/11/2021,18:51:49,15.3,64.6,1011
20/11/2021,18:51:59,13.1,73.5,1011
20/11/2021,18:52:09,14.8,52.7,1011
20/11/2021,18:52:19,16.2,78.2,1011
20/11/2021,18:52:29,16.0,81.8,1011
20/11/2021,18:52:40,16.2,83.8,1011
20/11/2021,18:52:50,17.5,81.8,1011
20/11/2021,18:53:00,17.5,51.6,1011
20/11/2021,18:53:10,17.1,37.5,1011
20/11/2021,18:53:20,16.6,34.8,1011
20/11/2021,18:53:30,16.1,34.4,1011
20/11/2021,18:53:40,15.7,34.6,1011
20/11/2021,18:53:50,15.3,35.2,1011
20/11/2021,18:54:00,14.9,35.6,1011
20/11/2021,18:54:10,14.6,36.2,1011
20/11/2021,18:54:20,14.3,37.2,1011
20/11/2021,18:54:30,14.0,37.6,1011
20/11/2021,18:54:50,13.4,38.7,1011
20/11/2021,18:55:00,13.2,39.4,1011
20/11/2021,18:55:10,13.0,39.8,1011
20/11/2021,18:55:20,12.8,40.4,1011
20/11/2021,18:55:30,12.6,40.9,1011
20/11/2021,18:55:40,12.8,61.1,1011
20/11/2021,18:55:50,13.1,57.6,1011
20/11/2021,18:56:00,12.8,45.3,1011
20/11/2021,18:56:10,12.5,44.4,1011
20/11/2021,18:56:20,12.3,44.2,1011
